"app_title1","app_title2","sim"
"id1","id2410",0.797078390899481
"id1","id894",0.738061977663983
"id1","id3921",0.704282845281786
"id1","id3124",0.692676193265002
"id1","id4269",0.688654190043059
"id10","id1325",0.301221731143348
"id10","id4363",0.285471677493663
"id10","id2343",0.276948245304489
"id10","id4464",0.26815001951965
"id10","id1936",0.263424917553569
"id100","id4553",0.295732650113818
"id100","id810",0.272088023765931
"id100","id150",0.263321665756279
"id100","id821",0.259262515215203
"id100","id1151",0.252013636037872
"id1000","id4231",0.441626268972295
"id1000","id3606",0.410426491809286
"id1000","id691",0.384591282927693
"id1000","id1742",0.236532671236086
"id1000","id3626",0.219004846528837
"id1001","id1328",0.440260502038646
"id1001","id3930",0.434636278245199
"id1001","id4717",0.398323623456681
"id1001","id3294",0.372906325246342
"id1001","id4410",0.361202883572222
"id1002","id3952",0.280391623758547
"id1002","id2707",0.280017441172668
"id1002","id582",0.263855205380153
"id1002","id367",0.26186328895233
"id1002","id2453",0.254370611933415
"id1003","id974",0.80377476566489
"id1003","id969",0.797484997100751
"id1003","id3613",0.765471538333362
"id1003","id971",0.755382376517697
"id1003","id970",0.705330374141905
"id1004","id4529",0.846220572994606
"id1004","id1328",0.790931285625629
"id1004","id2659",0.725686972848651
"id1004","id1650",0.60145199149467
"id1004","id2390",0.553875074518107
"id1005","id3470",0.590343850042363
"id1005","id595",0.429551909547375
"id1005","id198",0.428160867967823
"id1005","id2824",0.382369036582562
"id1005","id560",0.374566993082406
"id1006","id4010",0.397750437834592
"id1006","id4254",0.394285795607358
"id1006","id4588",0.380443382771809
"id1006","id1148",0.376611958397585
"id1006","id357",0.329605186851486
"id1007","id1043",0.579378004403468
"id1007","id767",0.481689409947683
"id1007","id1177",0.480139984760433
"id1007","id927",0.452581495214293
"id1007","id4167",0.386980347853622
"id1008","id407",0.603617338763869
"id1008","id3356",0.588434219068997
"id1008","id2784",0.396058310503241
"id1008","id4285",0.384468400021959
"id1008","id1514",0.382886075992932
"id1009","id922",0.820292698086349
"id1009","id2091",0.78171861612091
"id1009","id856",0.776288467215562
"id1009","id2372",0.769886269597583
"id1009","id3244",0.766330497762498
"id101","id1384",0.551271702465829
"id101","id3752",0.102198164289118
"id101","id10",0.100122241912232
"id101","id1340",0.0998002353167195
"id101","id800",0.0972697796490432
"id1010","id4229",0.797129783849269
"id1010","id4222",0.665907930694309
"id1010","id2303",0.6564487369848
"id1010","id4208",0.536171196645042
"id1010","id2541",0.514067003136785
"id1011","id3160",0.403349925327225
"id1011","id4288",0.312672005636157
"id1011","id1025",0.30710052479639
"id1011","id2651",0.302049142712212
"id1011","id2510",0.300308165800711
"id1012","id62",0.88793218484068
"id1012","id2419",0.821392680286467
"id1012","id288",0.80971264217054
"id1012","id3854",0.794818870809298
"id1012","id4554",0.778356140791367
"id1013","id572",0.722324367195453
"id1013","id3647",0.595840238002221
"id1013","id2615",0.586412740648167
"id1013","id65",0.58387497365386
"id1013","id2229",0.583089672444599
"id1014","id1299",0.612866546646386
"id1014","id4048",0.579983352080648
"id1014","id2119",0.548695689380037
"id1014","id3661",0.511084165258953
"id1014","id1636",0.505789379910184
