app_id,pricing_plan_id,feature
d6a3200d-54e7-42bc-bd50-7aa722870f70,a417c8fa-ddca-43d8-9156-83aa20d1571f,Page Targeting
d6a3200d-54e7-42bc-bd50-7aa722870f70,a417c8fa-ddca-43d8-9156-83aa20d1571f,Device Targeting
c86ce351-dfb8-4b03-b507-09354e835544,f87a1760-b77c-4d9b-9153-071b83b757c0,Email support
c86ce351-dfb8-4b03-b507-09354e835544,f87a1760-b77c-4d9b-9153-071b83b757c0,Activate/pauze banner
c86ce351-dfb8-4b03-b507-09354e835544,f87a1760-b77c-4d9b-9153-071b83b757c0,Banner on top of page
d6a3200d-54e7-42bc-bd50-7aa722870f70,a417c8fa-ddca-43d8-9156-83aa20d1571f,Chat Support
d6a3200d-54e7-42bc-bd50-7aa722870f70,a417c8fa-ddca-43d8-9156-83aa20d1571f,Email Support
853f3e29-f800-4991-a662-18e44f01139f,6584c02d-6058-416d-b472-a228528b5ca6,Referral Program Page
48d15776-9a96-4603-b428-0cb960b743f2,a417c8fa-ddca-43d8-9156-83aa20d1571f,Basic Plan Features
48d15776-9a96-4603-b428-0cb960b743f2,a417c8fa-ddca-43d8-9156-83aa20d1571f,Unlimited Active Bars
48d15776-9a96-4603-b428-0cb960b743f2,a417c8fa-ddca-43d8-9156-83aa20d1571f,Premium Templates
853f3e29-f800-4991-a662-18e44f01139f,6584c02d-6058-416d-b472-a228528b5ca6,Coupon Reward
853f3e29-f800-4991-a662-18e44f01139f,6584c02d-6058-416d-b472-a228528b5ca6,Points Reward
48d15776-9a96-4603-b428-0cb960b743f2,a417c8fa-ddca-43d8-9156-83aa20d1571f,Geotargeting (Countries)
48d15776-9a96-4603-b428-0cb960b743f2,a417c8fa-ddca-43d8-9156-83aa20d1571f,Bar Scheduling
853f3e29-f800-4991-a662-18e44f01139f,6584c02d-6058-416d-b472-a228528b5ca6,Up to 30 monthly orders
25ff4127-89c5-4a53-97f4-5d630911e3ef,6584c02d-6058-416d-b472-a228528b5ca6,Minimum Purchase Amount
25ff4127-89c5-4a53-97f4-5d630911e3ef,6584c02d-6058-416d-b472-a228528b5ca6,Integrate with Email
25ff4127-89c5-4a53-97f4-5d630911e3ef,6584c02d-6058-416d-b472-a228528b5ca6,Integrate with Popups
25ff4127-89c5-4a53-97f4-5d630911e3ef,6584c02d-6058-416d-b472-a228528b5ca6,Up to 400 monthly orders
5e709e65-e006-42dd-8308-ada3744bb30d,fcb81414-55c3-4a13-a06c-7496d79e5711,Customers approving options
5e709e65-e006-42dd-8308-ada3744bb30d,fcb81414-55c3-4a13-a06c-7496d79e5711,Emails notifications after customer is registered or approved
5e709e65-e006-42dd-8308-ada3744bb30d,fcb81414-55c3-4a13-a06c-7496d79e5711,Custom message for not approved customers
75b71b75-ce47-497f-9f07-7e6079d3a72a,fcb81414-55c3-4a13-a06c-7496d79e5711,All from Basic Plan
75b71b75-ce47-497f-9f07-7e6079d3a72a,fcb81414-55c3-4a13-a06c-7496d79e5711,Automatically tagging customers
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,50 Invoices / Month
75b71b75-ce47-497f-9f07-7e6079d3a72a,fcb81414-55c3-4a13-a06c-7496d79e5711,Redirect customer to selected page after registration
75b71b75-ce47-497f-9f07-7e6079d3a72a,fcb81414-55c3-4a13-a06c-7496d79e5711,Own email configuration
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,Legislation Compliant
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,Bulk Print & Download
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,Quick Edit Invoices
8d8f8ae0-3d71-4591-bf3e-e4fb30a75039,8e04352d-0615-407b-a974-8ff5198a312c,Show Unlimited Images
8d8f8ae0-3d71-4591-bf3e-e4fb30a75039,8e04352d-0615-407b-a974-8ff5198a312c,Fully Customizable
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,Draft Orders
b9d0bd7c-b7cd-4c26-bd6d-cb378cfd54cf,dd74088c-c6ee-40ba-889e-7ef0eb62eecf,Packing Slips
